description,category
WINGSTOP /ONLINE,Restaurants
PURCHASE ETSY #4388,Shopping
VONS,Grocery
AUTH 9739 GOODWILL,Other
SECOND CUP AUSTIN TX,Coffee
MONTHLY SERVICE FEE /ONLINE,Fees
POS 9940 AIRPORT SHUTTLE STORE 9940,Transport
EMERGENCY ROOM,Health
AUTH 6658 BANK FEE SAN JOSE CA,Fees
PAYMENT COMCAST #2527,Utilities
AUTH 6674 UNIQLO *6674,Shopping
NOODLES & CO,Restaurants
POS 4210 TRANSFER FEE #4210,Fees
PAYMENT SHELL #8189,Gas
POS 8377 LEASE DEPOSIT *8377,Rent
CRUNCHYROLL /ONLINE,Entertainment
PAYMENT TSA PRECHECK *9630,Travel
WEB 4666 FRONTIER COMMUNICATIONS /ONLINE,Utilities
PAYMENT NFL GAMEPASS /ONLINE,Entertainment
WEB 9402 GIANT EAGLE,Grocery
WEB 5706 INTELLIGENTSIA #5706,Coffee
MARSHALLS,Shopping
EXPEDIA BERKELEY CA,Travel
CARD 4552 ACE HARDWARE,Other
POS 3935 TJ MAXX,Shopping
CHIME TRANSFER,P2P
YARDI RENT #4651,Rent
WEB 7690 FIVE GUYS,Restaurants
CIRCLE K,Gas
POS 3098 ACE HARDWARE,Other
PAYMENT MISC CHARGE STORE 8100,Other
AUTH 7698 ADT SECURITY NEW YORK NY,Utilities
WEB 7381 FAMILY DOLLAR /ONLINE,Other
PAYMENT UNITED AIRLINES,Travel
PAYMENT COFFEE BEAN & TEA LEAF NEW YORK NY,Coffee
POS 1961 SQUARE CASH,P2P
PAYMENT KAISER STORE 6232,Health
POS 6091 SPOTIFY *6091,Entertainment
PAYMENT JAVAHOUSE STORE 5602,Coffee
PAYMENT CINCINNATI BELL #8555,Utilities
WEB 6785 SMUD ENERGY #6785,Utilities
CARIBOU COFFEE,Coffee
PAYMENT PRICELINE #9375,Travel
CARD 9653 VERIZON #9653,Utilities
PAYMENT UNIQLO,Shopping
PAYMENT TRADER JOE'S - SEATTLE WA,Grocery
CARD 3842 SEATTLE'S BEST STORE 3842,Coffee
CARD 7620 METRONET,Utilities
ULTA STORE 5416,Shopping
PAYMENT AIRPORT SHUTTLE,Transport
PAYMENT FRONTIER AIRLINES,Travel
WEB 8087 LA COLOMBE,Coffee
POS 5059 HOSPITAL BILL #5059,Health
POS 7926 BARCADE *7926,Bars
GOOGLE PAY SAN JOSE CA,P2P
PAYMENT SPIRIT AIRLINES,Travel
PURCHASE GIANT FOOD,Grocery
WEB 6253 WHITE CASTLE - SAN FRANCISCO CA,Restaurants
PAYMENT AUDIBLE STORE 9569,Entertainment
PAYMENT DIRECTV *6469,Utilities
CARD 3730 OPTOMETRY CENTER LOS ANGELES CA,Health
POS 1466 SMUD ENERGY,Utilities
PURCHASE AIRPORT SHUTTLE #3223,Transport
POS 3254 SEPHORA #3254,Shopping
POS 3139 CHEVRON AUSTIN TX,Gas
WEB 7405 TEXACO,Gas
WEB 3442 UBER TRIP BERKELEY CA,Transport
PURCHASE WALGREENS,Health
TAPHOUSE /ONLINE,Bars
PAYMENT YARD HOUSE *7189,Bars
AUTH 3757 FRONTIER AIRLINES,Travel
POS 4374 STUMPTOWN - SAN FRANCISCO CA,Coffee
NBA LEAGUE PASS - SEATTLE WA,Entertainment
POS 2659 TAPROOM STORE 2659,Bars
CARD 9002 SALVATION ARMY #9002,Other
PAYMENT COFFEE BEAN & TEA LEAF STORE 4720,Coffee
POS 7889 REALPAGE PAYMENTS,Rent
PURCHASE BIGGBY COFFEE /ONLINE,Coffee
AUTH 4458 CHIROPRACTOR,Health
POS 7304 WISE TRANSFER #7304,P2P
PAYMENT HAPPY HOUR LOUNGE,Bars
PLAYSTATION STORE /ONLINE,Entertainment
POS 4476 AMERICAN AIRLINES STORE 4476,Travel
AUTH 2882 PLAYSTATION STORE STORE 2882,Entertainment
AUTH 4492 YARDI RENT #4492,Rent
CARD 4407 CRUNCHYROLL,Entertainment
PURCHASE ALASKA AIR /ONLINE,Travel
POS 6431 ZAXBY'S STORE 6431,Restaurants
PURCHASE MOBIL,Gas
PURCHASE GLORIA JEAN'S,Coffee
THRIFT STORE,Other
CARD 8155 STARBUCKS - SAN FRANCISCO CA,Coffee
POS 2003 TSA PRECHECK #2003,Travel
POS 6145 SONIC INTERNET,Utilities
AUTH 7355 STATEMENT FEE /ONLINE,Fees
STUMPTOWN #6258,Coffee
POS 7597 HILTON #7597,Travel
PURCHASE TRANSFER FEE,Fees
PAYMENT FOREIGN TRANSACTION FEE /ONLINE,Fees
AMAZON /ONLINE,Shopping
TAPHOUSE STORE 9334,Bars
POS 8988 STATEMENT FEE SAN FRANCISCO CA,Fees
SAVE MART AUSTIN TX,Grocery
HULU,Entertainment
PAYMENT LYFT XL,Transport
PAYMENT NBA LEAGUE PASS STORE 7656,Entertainment
AUTH 7906 SQUARE CASH,P2P
CARD 5269 SUBWAY *5269,Restaurants
ZILLOW RENT *6263,Rent
AUTH 4462 SQUARE CASH - AUSTIN TX,P2P
REMITLY,P2P
PAYMENT METRONET /ONLINE,Utilities
AUTH 3905 ATM FEE,Fees
T-MOBILE,Utilities
PURCHASE ESSO,Gas
PAYMENT CASH ADVANCE FEE /ONLINE,Fees
POS 3174 SMUD ENERGY,Utilities
PURCHASE TRADER JOE'S,Grocery
CARD 1749 STOP & SHOP - AUSTIN TX,Grocery
PEACOCK - LOS ANGELES CA,Entertainment
AUTH 7436 SPEAKEASY /ONLINE,Bars
T-MOBILE *6816,Utilities
TAPROOM,Bars
PURCHASE FOOD 4 LESS,Grocery
WEB 3984 VENMO /ONLINE,P2P
POS 6339 APARTMENTS LLC,Rent
MARSHALLS #6896,Shopping
AUTH 6675 CVS PHARMACY STORE 6675,Health
AUTH 4948 FANDANGO *4948,Entertainment
WEB 8474 PAYLEASE STORE 8474,Rent
POS 5831 HOME DEPOT - NEW YORK NY,Shopping
PAYMENT NSF FEE *9896,Fees
WEB 8668 COSTCO FUEL /ONLINE,Gas
FANDANGO #2763,Entertainment
PURCHASE INTELLIGENTSIA,Coffee
TICKETMASTER *6984,Entertainment
COX COMMUNICATIONS NEW YORK NY,Utilities
WEB 4511 ACME MARKETS STORE 4511,Grocery
EXXON *5510,Gas
VALERO SEATTLE WA,Gas
GLORIA JEAN'S *5447,Coffee
PAYMENT COMCAST - SEATTLE WA,Utilities
PURCHASE YARDI RENT /ONLINE,Rent
SUNOCO AUSTIN TX,Gas
POS 8945 ANNUAL FEE STORE 8945,Fees
BIRD SCOOTERS /ONLINE,Transport
LANDLORD TRANSFER *5107,Rent
BIG LOTS *9121,Other
CARD 6937 EXXON LOS ANGELES CA,Gas
POS 2679 WISE TRANSFER *2679,P2P
POS 4450 HAPPY HOUR LOUNGE,Bars
TICKETMASTER,Entertainment
AUTH 2632 APARTMENT RENT /ONLINE,Rent
TSA PRECHECK #4920,Travel
PAYMENT RED LOBSTER,Restaurants
AUTH 8685 GAS BUDDY STORE 8685,Gas
WEB 4892 AVAIL.CO - BERKELEY CA,Rent
POS 3105 NBA LEAGUE PASS,Entertainment
COSTCO WHOLESALE - AUSTIN TX,Shopping
WEB 3425 DELTA VACATIONS - SAN JOSE CA,Travel
PAYMENT APARTMENT RENT,Rent
IRISH PUB /ONLINE,Bars
REALPAGE PAYMENTS #1579,Rent
WEB 3992 EBAY *3992,Shopping
LOCAL MARKET,Other
PURCHASE ROOFTOP BAR NEW YORK NY,Bars
POS 2859 GENERAL MERCHANT #2859,Other
WEB 6011 MENTAL HEALTH - OAKLAND CA,Health
BP STORE 4934,Gas
YOUTUBE PREMIUM STORE 7469,Entertainment
WEB 3918 SAVE MART *3918,Grocery
CARD 5849 SALVATION ARMY /ONLINE,Other
AUTH 9335 CULVER'S #9335,Restaurants
MARKET BASKET,Grocery
OPTOMETRY CENTER *4243,Health
STATEMENT FEE,Fees
HULU SAN FRANCISCO CA,Entertainment
UNIQLO #1416,Shopping
POS 8954 CITY PARKING,Transport
THRIFT STORE *4973,Other
POS 9669 SAFEWAY *9669,Grocery
CARD 2982 CANCER CENTER NEW YORK NY,Health
CARD 3896 NSF FEE,Fees
HARDWARE STORE,Other
AUTH 7550 THE ALEHOUSE *7550,Bars
CARD 7206 CRUNCHYROLL - BERKELEY CA,Entertainment
GAMESTOP,Shopping
WEB 8034 GYM MEMBERSHIP /ONLINE,Health
ADT SECURITY *2759,Utilities
PAYMENT BIGGBY COFFEE *1598,Coffee
AUTH 5385 MACY'S *5385,Shopping
IHOP STORE 9561,Restaurants
PAYMENT CULVER'S,Restaurants
GENERAL MERCHANT STORE 3858,Other
POS 5746 RENT PAYMENT PORTAL,Rent
MAINTENANCE FEE STORE 6243,Fees
WEB 2919 LATE FEE STORE 2919,Fees
POS 7329 MENTAL HEALTH SAN FRANCISCO CA,Health
PURCHASE BIGGBY COFFEE,Coffee
POS 6063 IKEA #6063,Shopping
PURCHASE ELECTRIC CO-OP #1387,Utilities
AUTH 7532 WHATABURGER *7532,Restaurants
POS 3136 ACE HARDWARE - BERKELEY CA,Other
WEB 6483 PRICELINE /ONLINE,Travel
AUTH 5781 COMCAST SAN JOSE CA,Utilities
PAYMENT CASH ADVANCE FEE STORE 4809,Fees
POS 4823 CAR WASH,Other
PAYMENT AMTRAK,Transport
PAYMENT DONATION - OAKLAND CA,Other
WEB 7049 UBER AIRPORT #7049,Travel
PURCHASE PORTILLO'S AUSTIN TX,Restaurants
PURCHASE DUNKIN NEW YORK NY,Coffee
RALPHS *6215,Grocery
SAFEWAY,Grocery
PURCHASE WIRE FEE - AUSTIN TX,Fees
POS 2263 CARD REPLACEMENT FEE /ONLINE,Fees
WEB 2515 LATE FEE NEW YORK NY,Fees
PURCHASE UBER AIRPORT SAN FRANCISCO CA,Travel
CARD 2245 ALASKA AIR - SAN JOSE CA,Travel
WISE TRANSFER #9340,P2P
PURCHASE ANNUAL FEE STORE 7159,Fees
CARD 2190 ATM FEE,Fees
PAYMENT AMAZON #9818,Shopping
WEB 7894 MENTAL HEALTH,Health
JETBLUE,Travel
WEB 4515 LIME BIKE - SAN JOSE CA,Transport
PURCHASE CHIROPRACTOR *5462,Health
SOUTHWEST - OAKLAND CA,Travel
PAYMENT FOOD 4 LESS,Grocery
AUTH 1770 CIRCLE K,Gas
PURCHASE DRY CLEANING,Other
PAYMENT MISC CHARGE,Other
EXXONMOBIL,Gas
COMCAST BERKELEY CA,Utilities
PAYMENT EXXONMOBIL,Gas
WEB 1705 LATE FEE - SEATTLE WA,Fees
PAYPAL FRIENDS STORE 5894,P2P
PURCHASE GULF OIL /ONLINE,Gas
PAYMENT DENTAL CLINIC *3802,Health
CARD 2582 ROOFTOP BAR,Bars
AUTH 8597 VERIZON STORE 8597,Utilities
PAYMENT STRIPE PAYOUT #2516,P2P
AUTH 3322 NORDSTROM *3322,Shopping
POS 1786 GETTY,Gas
CARD 6879 GIANT EAGLE /ONLINE,Grocery
PAYMENT ALASKA AIR *6878,Travel
CAR WASH #4303,Other
PURCHASE SCOOTER RENTAL *7778,Transport
CARD 3761 ESSO STORE 3761,Gas
BEER GARDEN STORE 2333,Bars
WHATABURGER - SAN FRANCISCO CA,Restaurants
PURCHASE VENMO,P2P
WEB 9598 SHELL STORE 9598,Gas
REGAL CINEMAS #8802,Entertainment
WEB 1798 ESSO *1798,Gas
LIVE NATION #5855,Entertainment
MCDONALD'S #3938,Restaurants
PURCHASE XFINITY /ONLINE,Utilities
WEB 4574 LIVE NATION /ONLINE,Entertainment
CARD 7244 BIGGBY COFFEE,Coffee
PRIMARY CARE,Health
WEB 1956 TSA PRECHECK,Travel
SPORTS BAR,Bars
BUFFALO WILD WINGS BAR SEATTLE WA,Bars
BANK FEE /ONLINE,Fees
THRIFT STORE,Other
PUBLIX,Grocery
POS 4155 APPLE CASH *4155,P2P
CARD 4919 BIGGBY COFFEE,Coffee
BANK FEE STORE 5690,Fees
JAVAHOUSE *4239,Coffee
WEB 1594 MENTAL HEALTH #1594,Health
PURCHASE NSF FEE SEATTLE WA,Fees
PAYPAL TRANSFER NEW YORK NY,P2P
IKEA - OAKLAND CA,Shopping
POS 8934 THE LOCAL PUB #8934,Bars
LAUNDROMAT *2482,Other
POS 5870 SUNOCO - BERKELEY CA,Gas
PURCHASE ACE HARDWARE *5957,Other
PAYMENT APARTMENT RENT,Rent
PURCHASE JAVAHOUSE /ONLINE,Coffee
PURCHASE THE LOCAL PUB /ONLINE,Bars
CARD 3898 SPIRIT AIRLINES *3898,Travel
PAYMENT EMERGENCY ROOM #9833,Health
PURCHASE BUILDINGLINK,Rent
PHYSICAL THERAPY #8810,Health
CARD 4546 VERIZON OAKLAND CA,Utilities
AT&T /ONLINE,Utilities
PORTILLO'S,Restaurants
PURCHASE AMERICAN AIRLINES,Travel
MEIJER #7535,Grocery
AUTH 3118 PAYPAL FRIENDS *3118,P2P
WEB 5615 LEASE DEPOSIT STORE 5615,Rent
SUBWAY /ONLINE,Restaurants
PURCHASE APPLEBEE'S BAR *6340,Bars
CARD 2348 BART CLIPPER BERKELEY CA,Transport
WEB 9038 IN-N-OUT SAN FRANCISCO CA,Restaurants
WEB 9523 DENTAL CLINIC - SAN FRANCISCO CA,Health
AUTH 4370 WELLNESS CENTER,Health
POS 8966 ZIPCAR /ONLINE,Transport
NBA LEAGUE PASS /ONLINE,Entertainment
AUTH 5841 HARBOR FREIGHT STORE 5841,Other
FRONTIER COMMUNICATIONS STORE 5298,Utilities
MUNI METRO,Transport
XFINITY /ONLINE,Utilities
AUTH 6810 AVIS RENTAL - SAN FRANCISCO CA,Transport
AUTH 6418 SECOND CUP - SEATTLE WA,Coffee
WEB 7636 COFFEE BEAN & TEA LEAF SEATTLE WA,Coffee
FOREIGN TRANSACTION FEE *5947,Fees
CARD 5587 SALVATION ARMY #5587,Other
PAYMENT THE ALEHOUSE /ONLINE,Bars
WEB 4343 TOLL BRIDGE,Transport
AUTH 8595 HAPPY HOUR LOUNGE NEW YORK NY,Bars
HOME DEPOT,Shopping
POS 4347 LATE FEE *4347,Fees
AUTH 4198 AMERICAN AIRLINES #4198,Travel
PURCHASE QUEST DIAGNOSTICS #7799,Health
POS 1522 BANDCAMP - BERKELEY CA,Entertainment
PAYMENT AMERICAN AIRLINES *8086,Travel
76 STATION,Gas
POS 5903 UNIQLO - SAN FRANCISCO CA,Shopping
AUTH 5419 AVIS RENTAL,Transport
WEB 5833 MONTHLY SERVICE FEE,Fees
AUTH 6492 POST OFFICE,Other
PEET'S COFFEE - SEATTLE WA,Coffee
POS 6246 CIDER HOUSE SAN JOSE CA,Bars
CARD 9476 COMCAST #9476,Utilities
SEATTLE'S BEST /ONLINE,Coffee
NSF FEE AUSTIN TX,Fees
76 STATION /ONLINE,Gas
NBA LEAGUE PASS - AUSTIN TX,Entertainment
POS 4439 LIVE NATION /ONLINE,Entertainment
PURCHASE MENTAL HEALTH /ONLINE,Health
POS 3777 BOOKING.COM - SAN JOSE CA,Travel
WEB 1937 BREWER'S TAPROOM,Bars
CARD REPLACEMENT FEE,Fees
AUTH 4700 DENTAL CLINIC,Health
SPOTIFY,Entertainment
REALPAGE PAYMENTS - SAN FRANCISCO CA,Rent
YOUTUBE PREMIUM /ONLINE,Entertainment
BIGGBY COFFEE,Coffee
PAYMENT RENTCAFE STORE 2142,Rent
AUTH 5462 APARTMENTS LLC *5462,Rent
CARD 3481 GIANT FOOD STORE 3481,Grocery
AUTH 7799 CAR WASH,Other
POS 2113 HERTZ *2113,Transport
PAYMENT PG&E - SAN JOSE CA,Utilities
AUTH 5079 PAYPAL FRIENDS,P2P
SPORTS BAR *7824,Bars
WEB 7160 TEXACO /ONLINE,Gas
PAYMENT EBAY /ONLINE,Shopping
VENMO REQUEST,P2P
PURCHASE FOOD 4 LESS,Grocery
WEB 9996 GLORIA JEAN'S,Coffee
AIRPORT PARKING STORE 3333,Travel
POS 4547 NSF FEE STORE 4547,Fees
AUTH 5656 POST OFFICE /ONLINE,Other
PURCHASE DERMATOLOGY,Health
PURCHASE COMMUNITY CENTER /ONLINE,Other
PAYMENT PET STORE,Other
PAYMENT EXXON SAN FRANCISCO CA,Gas
DUNKIN /ONLINE,Coffee
AUTH 2299 CHIROPRACTOR,Health
PURCHASE ESSO,Gas
HILTON STORE 4238,Travel
SQUARE CASH *8280,P2P
POS 7855 AVAIL.CO SEATTLE WA,Rent
WEB 8433 ELECTRIC CO-OP *8433,Utilities
PAYMENT WINGSTOP STORE 6601,Restaurants
PAYMENT BIGGBY COFFEE STORE 8744,Coffee
WEB 4277 OFFICE DEPOT STORE 4277,Shopping
CARD 4727 BUFFALO WILD WINGS - SEATTLE WA,Restaurants
PURCHASE MAINTENANCE FEE,Fees
PAYMENT CIRCLE K BERKELEY CA,Gas
WEB 8520 LEASE DEPOSIT,Rent
POS 2447 GLORIA JEAN'S - NEW YORK NY,Coffee
JAVAHOUSE,Coffee
HULU,Entertainment
VENMO REQUEST *1423,P2P
CARD 5465 TSA PRECHECK BERKELEY CA,Travel
MARSHALLS BERKELEY CA,Shopping
PAYMENT LATE FEE STORE 4494,Fees
PAYMENT CHEESECAKE FACTORY #1230,Restaurants
PURCHASE AVAIL.CO *3465,Rent
PURCHASE CVS PHARMACY #3232,Health
OVERDRAFT FEE *1477,Fees
POS 7027 UBER AIRPORT,Travel
SOUTHWEST - SAN JOSE CA,Travel
TEXACO,Gas
WEB 4284 SPIRIT AIRLINES #4284,Travel
CANCER CENTER /ONLINE,Health
WEB 2840 TENANT WEB /ONLINE,Rent
VENMO,P2P
PAYPAL TRANSFER BERKELEY CA,P2P
PAYMENT ZELLE REQUEST,P2P
PURCHASE SQUARE CASH - AUSTIN TX,P2P
PURCHASE BATH & BODY WORKS /ONLINE,Shopping
DISNEY+ LOS ANGELES CA,Entertainment
CARD 8428 RED LOBSTER *8428,Restaurants
EBAY,Shopping
BARCADE,Bars
UNITED AIRLINES *1609,Travel
SOUTHWEST /ONLINE,Travel
AUTH 2590 MEIJER,Grocery
PURCHASE SECOND CUP,Coffee
PAYMENT TRANSFER FEE SAN FRANCISCO CA,Fees
COFFEE BEAN & TEA LEAF - SAN FRANCISCO CA,Coffee
CHIROPRACTOR,Health
PAYMENT CASH ADVANCE FEE - AUSTIN TX,Fees
PAYMENT FOOD 4 LESS,Grocery
PAYMENT WALGREENS,Health
CARD 4454 APPLE CASH,P2P
WEB 1034 CINCINNATI BELL *1034,Utilities
PURCHASE ZELLE REQUEST *6165,P2P
T-MOBILE - NEW YORK NY,Utilities
WEB 4691 STRIPE PAYOUT *4691,P2P
PURCHASE LATE FEE,Fees
VENMO REQUEST STORE 2889,P2P
WEB 4710 RENT PAYMENT PORTAL *4710,Rent
BREWHOUSE /ONLINE,Bars
CARD 8160 COMMUNITY CENTER SEATTLE WA,Other
CARD 7061 WHOLE FOODS,Grocery
WEB 2918 ATM FEE,Fees
AUTH 8312 GYM MEMBERSHIP *8312,Health
WEB 8464 EXXON,Gas
CARD 3394 GETTY BERKELEY CA,Gas
WEB 2558 FOREIGN TRANSACTION FEE - SAN JOSE CA,Fees
STRIPE PAYOUT - SEATTLE WA,P2P
WEB 6230 GAS COMPANY #6230,Utilities
PAYMENT BUDGET RENTAL SAN JOSE CA,Transport
PURCHASE WEGMANS SEATTLE WA,Grocery
LABCORP #1297,Health
WINGSTOP,Restaurants
GYM MEMBERSHIP - SEATTLE WA,Health
RENTCAFE,Rent
MICROBREWERY /ONLINE,Bars
AUTH 2587 AMTRAK STORE 2587,Transport
DOLLAR GENERAL /ONLINE,Other
SPEAKEASY *3781,Bars
KAISER,Health
CARD 7997 DISTILLERY BAR,Bars
PAYMENT AT&T - SAN FRANCISCO CA,Utilities
CARD 9615 BART CLIPPER SAN FRANCISCO CA,Transport
WEB 1266 IKEA /ONLINE,Shopping
WEB 2570 EMERGENCY ROOM #2570,Health
CARD 1872 ROOFTOP BAR LOS ANGELES CA,Bars
CARD 7650 TOLL BRIDGE /ONLINE,Transport
POS 2466 SHELL STORE 2466,Gas
AUTH 8448 GYM MEMBERSHIP #8448,Health
AUTH 9788 GOODWILL SAN FRANCISCO CA,Other
SHAKE SHACK AUSTIN TX,Restaurants
WEB 5559 ZIPCAR,Transport
POS 1000 ZIPCAR,Transport
PURCHASE HOTELS.COM - SAN FRANCISCO CA,Travel
CARD 9482 CARD REPLACEMENT FEE *9482,Fees
PAYMENT PARAMOUNT+ *9742,Entertainment
WOW INTERNET #8498,Utilities
CARD 6050 GOOGLE PAY - OAKLAND CA,P2P
PURCHASE HULU BERKELEY CA,Entertainment
CARD 7541 SALVATION ARMY /ONLINE,Other
APARTMENT RENT - LOS ANGELES CA,Rent
PURCHASE OLIVE GARDEN #4511,Restaurants
WEB 1040 PEACOCK *1040,Entertainment
PURCHASE COSTCO FUEL STORE 7031,Gas
MEGABUS SAN JOSE CA,Transport
AVAIL.CO AUSTIN TX,Rent
WEB 7011 PAYPAL FRIENDS,P2P
CARD 5862 AIRBNB STORE 5862,Travel
POS 3179 PHYSICAL THERAPY - LOS ANGELES CA,Health
POS 8251 FARMERS MARKET,Other
MOBIL /ONLINE,Gas
BEST BUY - AUSTIN TX,Shopping
PURCHASE MACY'S STORE 2945,Shopping
WEB 7392 TEXACO,Gas
AUTH 4912 CULVER'S SEATTLE WA,Restaurants
POS 4508 SALVATION ARMY /ONLINE,Other
PURCHASE PHILLIPS 66 *3301,Gas
HARBOR FREIGHT,Other
CARD 7504 FRONTIER COMMUNICATIONS /ONLINE,Utilities
POS 5714 OVERDRAFT FEE #5714,Fees
WEB 6717 JAVAHOUSE #6717,Coffee
CHIME TRANSFER,P2P
PAYMENT LAVAZZA CAFE,Coffee
AUTH 8568 UNITED AIRLINES BERKELEY CA,Travel
PURCHASE NBA LEAGUE PASS,Entertainment
WIRE FEE STORE 5098,Fees
CARD 2965 DISTILLERY BAR /ONLINE,Bars
NSF FEE LOS ANGELES CA,Fees
PAYMENT OPTOMETRY CENTER,Health
CARD 2541 GETTY - LOS ANGELES CA,Gas
POS 7982 COMCAST STORE 7982,Utilities
POS 6141 CARIBOU COFFEE,Coffee
PHYSICAL THERAPY,Health
PURCHASE CHIROPRACTOR,Health
AUTH 1735 LANDLORD TRANSFER STORE 1735,Rent
CANCER CENTER *9156,Health
CARD 3873 MARRIOTT OAKLAND CA,Travel
AUTH 8222 ELECTRIC CO-OP,Utilities
H&M /ONLINE,Shopping
PURCHASE SWEETGREEN,Restaurants
WEB 4961 PRICELINE - AUSTIN TX,Travel
AUTH 9923 WHISKEY BAR LOS ANGELES CA,Bars
REGAL CINEMAS /ONLINE,Entertainment
STARBUCKS STORE 9053,Coffee
PAYMENT INTELLIGENTSIA - AUSTIN TX,Coffee
WEB 6595 SALVATION ARMY STORE 6595,Other
WEB 8146 WOW INTERNET - SEATTLE WA,Utilities
PURCHASE MENTAL HEALTH - OAKLAND CA,Health
AUTH 6369 BIRD SCOOTERS,Transport
WEB 4667 JAVAHOUSE /ONLINE,Coffee
POS 2873 STUMPTOWN #2873,Coffee
METRONET,Utilities
WEB 5094 76 STATION STORE 5094,Gas
URGENT CARE LOS ANGELES CA,Health
NSF FEE #2529,Fees
CARD 8824 PG&E,Utilities
CARD 8999 LATE FEE #8999,Fees
WEB 6687 OVERDRAFT FEE,Fees
SUNOCO NEW YORK NY,Gas
POS 7475 VALERO LOS ANGELES CA,Gas
PAYMENT DISTILLERY BAR *9190,Bars
H-E-B NEW YORK NY,Grocery
KING SOOPERS SAN FRANCISCO CA,Grocery
POS 5720 PROPERTY MANAGEMENT - OAKLAND CA,Rent
CARD 3884 TARGET STORE 3884,Shopping
WEB 9601 CVS PHARMACY #9601,Health
COCKTAIL CLUB *7983,Bars
PAYMENT ORTHO CLINIC - SAN FRANCISCO CA,Health
WEB 9588 LAVAZZA CAFE #9588,Coffee
PAYMENT CRUNCHYROLL *3694,Entertainment
ATM FEE,Fees
SOUTHWEST *6868,Travel
TJ MAXX STORE 2759,Shopping
PURCHASE BREWER'S TAPROOM,Bars
PURCHASE LA COLOMBE *2659,Coffee
ZELLE REQUEST #9302,P2P
CARD 5655 PORTILLO'S *5655,Restaurants
WALGREENS /ONLINE,Health
POS 8970 QUEST DIAGNOSTICS *8970,Health
PURCHASE IN-N-OUT STORE 5049,Restaurants
PURCHASE FRONTIER AIRLINES #9020,Travel
PARKING METER,Transport
DISTILLERY BAR AUSTIN TX,Bars
PAYMENT FOREIGN TRANSACTION FEE *8612,Fees
POS 6989 BEER GARDEN *6989,Bars
SHAKE SHACK SEATTLE WA,Restaurants
CARD 5081 MONTHLY SERVICE FEE - NEW YORK NY,Fees
DIVE BAR - SAN FRANCISCO CA,Bars
POS 1334 BREWHOUSE *1334,Bars
POS 9900 RALPHS /ONLINE,Grocery
POS 9029 PHYSICAL THERAPY,Health
POS 1449 WELLNESS CENTER,Health
POS 4559 LYFT XL *4559,Transport
EXPEDIA,Travel
CARD 9411 DELTA AIR LINES,Travel
WEB 4473 INTELLIGENTSIA,Coffee
ACE HARDWARE,Other
POS 6311 STARBUCKS,Coffee
AUTH 6359 BUDGET RENTAL,Transport
CARD 8557 MEGABUS,Transport
WEB 4530 RITE AID /ONLINE,Health
TIM HORTONS *2078,Coffee
PURCHASE T-MOBILE #7589,Utilities
TACO BELL,Restaurants
WEB 8195 PRICELINE - SAN JOSE CA,Travel
POS 3726 COFFEE REPUBLIC *3726,Coffee
WEB 6371 SMUD ENERGY STORE 6371,Utilities
CARD 1532 HOME IMPROVEMENT,Other
POS 2437 DUTCH BROS,Coffee
WEB 8242 RITE AID,Health
PAYMENT BP SAN FRANCISCO CA,Gas
WISE TRANSFER #6635,P2P
PAYMENT FUNIMATION #5314,Entertainment
PURCHASE FUNIMATION,Entertainment
PURCHASE BOOKING.COM *2275,Travel
PURCHASE DELTA AIR LINES,Travel
WEB 8601 WHITE CASTLE *8601,Restaurants
CHEESECAKE FACTORY,Restaurants
CARD 4279 VENMO REQUEST /ONLINE,P2P
PURCHASE DELTA SHUTTLE /ONLINE,Transport
PAYMENT LYFT RIDE AUSTIN TX,Transport
CARD 3581 COFFEE REPUBLIC,Coffee
POS 7476 VALERO #7476,Gas
PAYMENT PG&E *9084,Utilities
WIRE FEE #4351,Fees
WEB 5074 WIRE FEE *5074,Fees
PURCHASE DOLLAR GENERAL - SAN JOSE CA,Other
CARD 9844 FUNIMATION /ONLINE,Entertainment
POS 7126 ALASKA AIR #7126,Travel
WEB 5417 BARNES & NOBLE,Shopping
AUTH 6840 TEXACO STORE 6840,Gas
POS 1157 KROGER *1157,Grocery
BUILDINGLINK,Rent
CARD 1387 JETBLUE,Travel
LATE FEE - SEATTLE WA,Fees
STREET VENDOR NEW YORK NY,Other
PURCHASE LYFT RIDE /ONLINE,Transport
LYFT XL NEW YORK NY,Transport
WEB 8614 APARTMENT RENT,Rent
STATEMENT FEE LOS ANGELES CA,Fees
PAYMENT NOB HILL FOODS SAN FRANCISCO CA,Grocery
PAYMENT MACY'S - SAN JOSE CA,Shopping
BOJANGLES /ONLINE,Restaurants
PURCHASE CIRCLE K SEATTLE WA,Gas
DIVE BAR,Bars
SAVE MART /ONLINE,Grocery
WEB 8637 APPLE STORE - SAN JOSE CA,Shopping
PURCHASE ZELLE STORE 2729,P2P
POS 4355 ANNUAL FEE STORE 4355,Fees
POS 3313 BOOKING.COM,Travel
WEB 1637 SUBWAY STORE 1637,Restaurants
MONTHLY SERVICE FEE,Fees
AUTH 7626 BLUE BOTTLE *7626,Coffee
PURCHASE CHEESECAKE FACTORY STORE 6993,Restaurants
POS 2452 ORTHO CLINIC #2452,Health
WEB 3989 SALVATION ARMY,Other
BIGGBY COFFEE,Coffee
FRONTIER AIRLINES #6356,Travel
PURCHASE BART CLIPPER,Transport
PAYMENT ZELLE REQUEST,P2P
